rq,p4_program,packet_size_bytes,background_load_mbps,cold_idle_reference,median_us_rep1,median_us_rep2,delta_us,delta_pct_us,within_5pct_us,within_10pct_us,within_20pct_us,n_samples_rep1,mean_us_rep1,std_us_rep1,p25_us_rep1,p75_us_rep1,p99_us_rep1,p999_us_rep1,n_samples_rep2,mean_us_rep2,std_us_rep2,p25_us_rep2,p75_us_rep2,p99_us_rep2,p999_us_rep2,n_switches,n_entries_per_switch,operation,mode,median_s_rep1,median_s_rep2,delta_s,delta_pct_s,within_5pct_s,within_10pct_s,within_20pct_s,n_reps_rep1,mean_s_rep1,std_s_rep1,p25_s_rep1,p75_s_rep1,median_entries_per_sec_rep1,n_reps_rep2,mean_s_rep2,std_s_rep2,p25_s_rep2,p75_s_rep2,median_entries_per_sec_rep2,abs_mean_us_rep1,abs_mean_us_rep2,p1_us_rep1,abs_p99_us_rep1,per_hop_n_rep1,per_hop_abs_mean_us_rep1,p1_us_rep2,abs_p99_us_rep2,per_hop_n_rep2,per_hop_abs_mean_us_rep2,topology,source_workload_type,metric,mean_rep1,mean_rep2,delta_value,delta_pct_value,within_5pct_value,within_10pct_value,within_20pct_value,max_rep1,std_rep1,p5_rep1,p95_rep1,max_rep2,std_rep2,p5_rep2,p95_rep2
rq1,l2_forward,64.0,1.0,False,110.0,84.0,-26.0,-23.636363636363637,False,False,False,1000.0,128.072,159.0951982245162,97.0,131.0,330.04,3029.9520000000857,1000.0,91.813,51.58200009435204,79.0,92.0,204.24999999999977,650.5310000000478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l2_forward,64.0,25.0,False,83.0,76.0,-7.0,-8.433734939759036,False,True,True,1000.0,90.991,31.288334549459147,77.0,96.0,194.05999999999997,418.122000000011,1000.0,80.844,26.146650097312875,70.0,85.0,159.05999999999997,310.2230000000201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l2_forward,64.0,45.0,False,80.0,76.0,-4.0,-5.0,True,True,True,1000.0,88.268,29.81662635522683,74.0,92.0,209.02,367.0130000000012,1000.0,84.063,36.29424614595685,71.0,86.0,178.01999999999998,591.0840000000076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l2_forward,256.0,1.0,False,113.0,82.0,-31.0,-27.43362831858407,False,False,False,1000.0,127.301,70.15766884309582,99.0,133.0,352.0,1227.0050000000006,1000.0,88.713,39.97592657720026,77.0,91.0,214.18999999999983,565.3250000000293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l2_forward,256.0,25.0,False,81.0,75.0,-6.0,-7.407407407407407,False,True,True,1000.0,88.518,34.04886196337553,75.0,92.0,218.03,435.244000000022,1000.0,81.367,25.788706217419445,70.0,86.0,161.04999999999995,350.1030000000093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l2_forward,256.0,45.0,False,87.0,78.0,-9.0,-10.344827586206897,False,False,True,1000.0,99.493,38.51905591611337,78.0,110.0,269.01,341.11700000001053,1000.0,91.244,44.610498322262224,72.0,93.0,272.04,475.32600000002935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l2_forward,1500.0,1.0,False,98.0,85.0,-13.0,-13.26530612244898,False,False,True,1000.0,107.828,43.90487506022599,90.0,113.0,265.16999999999985,607.1260000000113,1000.0,92.29,28.35919858078052,80.0,95.0,236.03,373.0270000000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l2_forward,1500.0,25.0,False,87.0,76.0,-11.0,-12.64367816091954,False,False,True,1000.0,99.227,51.3623944785148,78.0,105.0,257.04,851.067000000006,1000.0,83.348,32.92514177586728,70.0,88.0,188.04999999999995,413.2710000000244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l2_forward,1500.0,45.0,False,82.0,75.0,-7.0,-8.536585365853659,False,True,True,1000.0,91.193,39.26361397505816,76.0,93.0,199.0,544.2870000000258,1000.0,88.265,136.39249131343956,70.0,85.0,173.06999999999994,3000.145000000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l3_lpm,64.0,1.0,False,117.0,97.0,-20.0,-17.094017094017094,False,False,True,1000.0,137.214,194.25776247625805,106.0,135.0,381.0,4166.210000000019,1000.0,115.03,239.3729025735505,91.0,108.0,258.0,2070.21800000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rq1,l3_lpm,64.0,25.0,False,98.0,89.0,-9.0,-9.183673469387756,False,True,True,1000.0,104.263,25.29283611140828,90.0,109.0,194.01,259.0120000000011,1000.0,97.143,49.635574351882354,84.0,100.0,197.0,708.6380000000574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
