p4_program,packet_size_bytes,background_load_mbps,cold_idle_reference,n_samples,mean_us,std_us,median_us,p25_us,p75_us,p99_us,p999_us
l2_forward,64,1,False,1000,91.813,51.58200009435204,84.0,79.0,92.0,204.24999999999977,650.5310000000478
l2_forward,64,25,False,1000,80.844,26.146650097312875,76.0,70.0,85.0,159.05999999999995,310.2230000000201
l2_forward,64,45,False,1000,84.063,36.29424614595685,76.0,71.0,86.0,178.01999999999998,591.0840000000076
l2_forward,256,0,True,100,292.49,159.4449016640754,233.0,174.25,351.5,707.9500000000005,792.5950000000009
l2_forward,256,1,False,1000,88.713,39.97592657720026,82.0,77.0,91.0,214.18999999999983,565.3250000000293
l2_forward,256,25,False,1000,81.367,25.788706217419445,75.0,70.0,86.0,161.04999999999995,350.1030000000093
l2_forward,256,45,False,1000,91.244,44.610498322262224,78.0,72.0,93.0,272.03999999999996,475.32600000002935
l2_forward,1500,1,False,1000,92.29,28.35919858078052,85.0,80.0,95.0,236.02999999999997,373.02700000000243
l2_forward,1500,25,False,1000,83.348,32.92514177586728,76.0,70.0,88.0,188.04999999999995,413.2710000000244
l2_forward,1500,45,False,1000,88.265,136.39249131343956,75.0,70.0,85.0,173.06999999999994,3000.145000000013
l3_lpm,64,1,False,1000,115.03,239.3729025735505,97.0,91.0,108.0,258.0,2070.21800000047
l3_lpm,64,25,False,1000,97.143,49.635574351882354,89.0,84.0,100.0,197.0,708.6380000000574
l3_lpm,64,45,False,999,102.13413413413413,33.585144780481116,91.0,85.0,107.0,221.03999999999996,322.08600000000285
l3_lpm,256,0,True,1100,520.7527272727273,199.8338544236459,524.0,408.5,617.25,1066.1499999999999,1484.1010000000135
l3_lpm,256,1,False,1100,107.21818181818182,90.32647104070627,96.0,89.0,107.0,269.04999999999995,653.6140000000009
l3_lpm,256,25,False,1100,100.35090909090908,32.7259076424159,91.0,86.0,104.0,201.16999999999985,400.4060000000004
l3_lpm,256,45,False,1100,101.66272727272727,43.04710871282039,91.0,84.0,105.0,221.01999999999998,290.6340000000023
l3_lpm,1500,1,False,1000,112.783,328.81168932694294,96.0,91.0,107.0,202.50999999999954,732.729000000876
l3_lpm,1500,25,False,1000,102.696,121.59556350897456,92.0,86.0,102.0,206.25999999999976,587.2270000002906
l3_lpm,1500,45,False,1000,104.301,65.29528216397317,92.0,85.0,105.0,217.02999999999997,680.0230000000921
l3_lpm_acl,64,1,False,1000,114.228,33.63390038718755,105.0,98.0,117.0,260.0799999999999,406.1480000000133
l3_lpm_acl,64,25,False,1000,106.652,36.076313508954826,98.0,93.0,109.0,200.01999999999998,608.0650000000059
l3_lpm_acl,64,45,False,1000,112.917,40.23631533915689,99.0,93.0,114.0,258.01,400.011000000001
l3_lpm_acl,256,1,False,1000,109.185,26.20388174332991,103.0,97.0,113.0,240.03999999999996,326.12600000001135
l3_lpm_acl,256,25,False,1000,105.8,29.473695029614095,98.0,92.0,109.0,219.18999999999983,334.0520000000047
l3_lpm_acl,256,45,False,1000,110.135,55.78457397608853,97.0,91.0,110.25,237.06999999999994,739.6040000000544
l3_lpm_acl,1500,1,False,1000,111.821,31.602748182597864,104.0,99.0,115.0,253.08999999999992,445.08500000000765
l3_lpm_acl,1500,25,False,1000,106.92,41.509524697840625,98.0,93.0,107.0,222.01999999999998,518.3720000000335
l3_lpm_acl,1500,45,False,1000,113.599,41.804183867034034,100.0,92.0,115.0,268.01,398.0720000000065
l3_lpm_int,64,1,False,2000,104.767,94.44352016020011,96.0,90.0,107.0,238.06999999999994,390.1550000000316
l3_lpm_int,64,25,False,2000,97.773,32.8775293622937,90.0,85.0,101.0,201.07999999999993,488.00800000000163
l3_lpm_int,64,45,False,2000,103.7115,95.65323851689176,91.0,85.0,104.0,213.01999999999998,500.09000000001834
l3_lpm_int,256,1,False,2000,109.03,83.98814859581248,97.0,92.0,109.0,282.03999999999996,1309.8850000001803
l3_lpm_int,256,25,False,2000,100.045,87.45237523342053,89.0,84.0,99.0,246.18999999999983,2013.186000000038
l3_lpm_int,256,45,False,2000,102.333,48.20838241496528,91.0,85.0,104.0,218.01,616.1230000000251
l3_lpm_int,1500,1,False,2000,105.1985,96.14583770920301,94.0,89.0,105.0,249.01,1210.5290000001078
l3_lpm_int,1500,25,False,2000,98.6615,92.91404860387895,90.0,84.0,100.0,205.07999999999993,621.2350000000479
l3_lpm_int,1500,45,False,2000,103.691,113.30455189329275,90.0,85.0,102.0,216.01999999999998,1496.2830000000577
