p4_program,topology,n_switches,background_load_mbps,source_workload_type,metric,n_samples,mean,max,std,p5,p95
l3_lpm,single_switch,1,10,saturation_sweep,cpu_percent_per_bmv2,2995,14.721202003338899,30.0,5.751629657035129,10.0,20.0
l3_lpm,single_switch,1,10,saturation_sweep,cpu_percent_total,2995,8.556427378964942,18.2,2.039634315410365,6.4,12.029999999999973
l3_lpm,single_switch,1,10,saturation_sweep,net_io_pps_per_iface,2995,880.7035133374883,910.1951094099692,7.858348347400601,869.5566895540147,890.7882451153737
l3_lpm,single_switch,1,10,saturation_sweep,rss_per_bmv2_bytes,2995,42310041.6,42467328.0,152880.43009238757,42074112.0,42467328.0
l3_lpm,single_switch,1,25,saturation_sweep,cpu_percent_per_bmv2,2996,24.375867823765024,49.9,5.424930555663887,20.0,30.0
l3_lpm,single_switch,1,25,saturation_sweep,cpu_percent_total,2996,8.96865821094793,31.8,2.2786610459375316,6.5,13.3
l3_lpm,single_switch,1,25,saturation_sweep,net_io_pps_per_iface,2996,2175.5764075959164,2272.1446770931834,9.558415699180731,2159.939775457544,2190.1437718741
l3_lpm,single_switch,1,25,saturation_sweep,rss_per_bmv2_bytes,2996,42446678.47263017,42598400.0,75268.06350295851,42336256.0,42598400.0
l3_lpm,single_switch,1,50,saturation_sweep,cpu_percent_per_bmv2,2995,41.89983305509182,90.1,6.264217227538498,30.0,50.0
l3_lpm,single_switch,1,50,saturation_sweep,cpu_percent_total,2995,10.997996661101837,23.1,2.2599374536871646,7.9,14.3
l3_lpm,single_switch,1,50,saturation_sweep,net_io_pps_per_iface,2995,4333.726616170023,4993.453272884626,19.38250392307217,4319.638821951741,4349.360909421435
l3_lpm,single_switch,1,50,saturation_sweep,rss_per_bmv2_bytes,2995,42718793.68013356,42860544.0,93640.33881866302,42598400.0,42860544.0
l3_lpm,single_switch,1,75,saturation_sweep,cpu_percent_per_bmv2,2995,70.00961602671119,200.5,8.065483560805028,60.0,80.0
l3_lpm,single_switch,1,75,saturation_sweep,cpu_percent_total,2995,17.86270450751252,40.6,3.7356406930098247,12.670000000000002,22.5
l3_lpm,single_switch,1,75,saturation_sweep,net_io_pps_per_iface,2995,6491.865705469686,6677.297434663742,12.644827706203381,6478.6369796198005,6508.516908874267
l3_lpm,single_switch,1,75,saturation_sweep,rss_per_bmv2_bytes,2995,43171878.29315526,44564480.0,427329.21221760387,42860544.0,44564480.0
l3_lpm,single_switch,1,100,saturation_sweep,cpu_percent_per_bmv2,2995,89.54320534223707,140.0,6.736309980536768,80.0,100.0
l3_lpm,single_switch,1,100,saturation_sweep,cpu_percent_total,2995,23.268781302170282,35.3,4.634696448844322,14.0,28.4
l3_lpm,single_switch,1,100,saturation_sweep,net_io_pps_per_iface,2995,8649.96400871915,8757.913164822798,11.587421893537602,8637.360500850164,8662.914178379315
l3_lpm,single_switch,1,100,saturation_sweep,rss_per_bmv2_bytes,2995,43226714.09148581,43646976.0,181429.01801181948,42991616.0,43646976.0
