p4_program,topology,n_switches,background_load_mbps,source_workload_type,metric,n_samples,mean,max,std,p5,p95
l3_lpm,single_switch,1,10,saturation_sweep,cpu_percent_per_bmv2,2998,15.59042695130087,40.0,6.314327820150067,10.0,30.0
l3_lpm,single_switch,1,10,saturation_sweep,cpu_percent_total,2998,7.460840560373582,17.3,1.7633993131828327,6.4,11.5
l3_lpm,single_switch,1,10,saturation_sweep,net_io_pps_per_iface,2998,880.7164643945372,1009.6558890789462,9.102587699854427,869.609952552046,890.7594121219848
l3_lpm,single_switch,1,10,saturation_sweep,rss_per_bmv2_bytes,2998,42479176.06937958,42729472.0,189197.54892834727,42205184.0,42729472.0
l3_lpm,single_switch,1,25,saturation_sweep,cpu_percent_per_bmv2,2997,23.049883216549883,40.1,5.417514507375632,20.0,30.0
l3_lpm,single_switch,1,25,saturation_sweep,cpu_percent_total,2997,11.761628294961628,22.7,3.4685997169802842,6.5,16.3
l3_lpm,single_switch,1,25,saturation_sweep,net_io_pps_per_iface,2997,2175.595043081623,2219.849272235477,7.86107497649155,2160.1685061491044,2189.9250520071514
l3_lpm,single_switch,1,25,saturation_sweep,rss_per_bmv2_bytes,2997,42538352.667334,42729472.0,169698.164587028,42205184.0,42729472.0
l3_lpm,single_switch,1,50,saturation_sweep,cpu_percent_per_bmv2,2997,37.34080747414081,90.3,8.024322988755792,30.0,50.0
l3_lpm,single_switch,1,50,saturation_sweep,cpu_percent_total,2997,13.94954954954955,26.6,4.022312265174771,7.9,20.0
l3_lpm,single_switch,1,50,saturation_sweep,net_io_pps_per_iface,2997,4333.709748356936,4976.123152213722,23.006156762547654,4301.795208043952,4367.075247698959
l3_lpm,single_switch,1,50,saturation_sweep,rss_per_bmv2_bytes,2997,43070425.390724055,43778048.0,367188.07321562915,42729472.0,43778048.0
l3_lpm,single_switch,1,75,saturation_sweep,cpu_percent_per_bmv2,2995,58.83756260434057,139.5,9.883135170105945,40.1,70.1
l3_lpm,single_switch,1,75,saturation_sweep,cpu_percent_total,2995,15.125509181969951,29.7,3.6806228188766505,11.2,22.5
l3_lpm,single_switch,1,75,saturation_sweep,net_io_pps_per_iface,2995,6491.894885284831,6690.843849223251,21.066838531026747,6453.824799172755,6528.80953141783
l3_lpm,single_switch,1,75,saturation_sweep,rss_per_bmv2_bytes,2995,42939187.2,42991616.0,64222.626448802024,42860544.0,42991616.0
l3_lpm,single_switch,1,100,saturation_sweep,cpu_percent_per_bmv2,2996,79.03160881174901,90.1,5.536284218989439,70.0,90.0
l3_lpm,single_switch,1,100,saturation_sweep,cpu_percent_total,2996,16.436682242990656,26.4,3.487130578754867,13.2,21.7
l3_lpm,single_switch,1,100,saturation_sweep,net_io_pps_per_iface,2996,8650.030788630533,8907.630392156767,11.858395619574381,8639.061668355751,8661.598433030356
l3_lpm,single_switch,1,100,saturation_sweep,rss_per_bmv2_bytes,2996,43190455.19893191,43253760.0,84546.08653107495,42991616.0,43253760.0
