p4_program,topology,n_switches,background_load_mbps,source_workload_type,metric,n_samples,mean,max,std,p5,p95
l2_forward,single_switch,1,1,latency_l2,cpu_percent_per_bmv2,1927,2.7869745718733783,20.1,4.776737235792857,0.0,10.0
l2_forward,single_switch,1,1,latency_l2,cpu_percent_total,1927,7.412869745718734,23.1,1.5379385047509961,6.2,9.9
l2_forward,single_switch,1,1,latency_l2,net_io_pps_per_iface,1927,104.69476222048499,5648.569248599765,126.63558563061262,89.94465542757067,110.08684147311766
l2_forward,single_switch,1,1,latency_l2,rss_per_bmv2_bytes,1927,42159679.501816295,42467328.0,267978.37038815045,41811968.0,42467328.0
l2_forward,single_switch,1,25,latency_l2,cpu_percent_per_bmv2,1928,21.20850622406639,50.1,5.481287718066148,10.0,30.0
l2_forward,single_switch,1,25,latency_l2,cpu_percent_total,1928,9.24253112033195,19.3,2.8788270661268713,6.5,13.8
l2_forward,single_switch,1,25,latency_l2,net_io_pps_per_iface,1928,2180.4479147204984,19488.492211822693,400.6635961415438,2158.946423180741,2182.898992467533
l2_forward,single_switch,1,25,latency_l2,rss_per_bmv2_bytes,1928,42467328.0,42467328.0,0.0,42467328.0,42467328.0
l2_forward,single_switch,1,45,latency_l2,cpu_percent_per_bmv2,1927,27.270472236637257,69.7,6.950547386134989,20.0,40.0
l2_forward,single_switch,1,45,latency_l2,cpu_percent_total,1927,13.133004670472237,27.7,1.6098962033448352,11.3,15.769999999999982
l2_forward,single_switch,1,45,latency_l2,net_io_pps_per_iface,1927,3914.251220682511,23813.352328715475,525.4815585620753,3884.8437606143875,3912.109969426902
l2_forward,single_switch,1,45,latency_l2,rss_per_bmv2_bytes,1927,42510995.9937727,42729472.0,163478.53543123452,42336256.0,42729472.0
l3_lpm,linear_n,1,0,control_plane,cpu_percent_per_bmv2,146,16.16917808219178,40.9,14.480843779323477,0.0,39.975
l3_lpm,linear_n,1,0,control_plane,cpu_percent_total,146,4.258904109589041,8.5,3.063481707151515,0.4,7.5
l3_lpm,linear_n,1,0,control_plane,net_io_pps_per_iface,146,0.0,0.0,0.0,0.0,0.0
l3_lpm,linear_n,1,0,control_plane,rss_per_bmv2_bytes,146,42093862.57534247,43384832.0,383712.93652502756,41549824.0,42696704.0
l3_lpm,linear_n,2,0,control_plane,cpu_percent_per_bmv2,448,24.081473214285715,67.6,17.531037112912472,0.0,51.26499999999999
l3_lpm,linear_n,2,0,control_plane,cpu_percent_total,448,6.2256696428571425,12.5,3.656679952553611,0.5,11.064999999999998
l3_lpm,linear_n,2,0,control_plane,net_io_pps_per_iface,448,0.0,0.0,0.0,0.0,0.0
l3_lpm,linear_n,2,0,control_plane,rss_per_bmv2_bytes,448,84242432.0,86900736.0,627484.3128377962,83361792.0,85065728.0
l3_lpm,linear_n,4,0,control_plane,cpu_percent_per_bmv2,825,30.063030303030303,154.9,18.990920237990867,0.0,61.4
l3_lpm,linear_n,4,0,control_plane,cpu_percent_total,825,7.422424242424243,16.5,3.5416960090853102,0.7,12.7
l3_lpm,linear_n,4,0,control_plane,net_io_pps_per_iface,825,0.0,0.0,0.0,0.0,0.0
l3_lpm,linear_n,4,0,control_plane,rss_per_bmv2_bytes,825,168364446.56484848,173146112.0,1177400.8698328456,166854656.0,170262528.0
l3_lpm,linear_n,4,1,resource_only,cpu_percent_per_bmv2,601,7.870216306156406,40.0,8.764749176091712,0.0,20.0
l3_lpm,linear_n,4,1,resource_only,cpu_percent_total,601,8.095341098169717,25.1,1.4082772898562241,6.9,9.9
l3_lpm,linear_n,4,1,resource_only,net_io_pps_per_iface,601,363.46200490049034,11253.848558269816,445.3451618270234,319.85802140904593,360.32276994727215
l3_lpm,linear_n,4,1,resource_only,rss_per_bmv2_bytes,601,168820736.0,168820736.0,0.0,168820736.0,168820736.0
l3_lpm,linear_n,4,45,resource_only,cpu_percent_per_bmv2,600,153.6155,290.0,16.978986612692466,130.0,180.0
l3_lpm,linear_n,4,45,resource_only,cpu_percent_total,600,19.372999999999998,28.9,1.523112203562518,17.7,21.6
l3_lpm,linear_n,4,45,resource_only,net_io_pps_per_iface,600,15639.086493835981,75805.66733419073,2460.641311980823,15497.370642364509,15581.01404789092
l3_lpm,linear_n,4,45,resource_only,rss_per_bmv2_bytes,600,171002866.34666666,171180032.0,108280.70465464903,170917888.0,171180032.0
l3_lpm,linear_n,8,0,control_plane,cpu_percent_per_bmv2,1502,33.584021304926765,171.29999999999998,22.07840091921165,0.0,73.09
l3_lpm,linear_n,8,0,control_plane,cpu_percent_total,1502,8.37143808255659,50.0,3.9119919063537867,1.0,14.2
l3_lpm,linear_n,8,0,control_plane,net_io_pps_per_iface,1502,0.0,0.0,0.0,0.0,0.0
l3_lpm,linear_n,8,0,control_plane,rss_per_bmv2_bytes,1502,335822608.0213049,344850432.0,2193009.331886973,332922880.0,339214336.0
l3_lpm,linear_n,8,1,resource_only,cpu_percent_per_bmv2,601,12.844592346089849,60.0,11.046975824867546,0.0,30.0
l3_lpm,linear_n,8,1,resource_only,cpu_percent_total,601,7.925623960066556,13.2,0.8983553408080187,6.9,9.3
l3_lpm,linear_n,8,1,resource_only,net_io_pps_per_iface,601,689.5540481061256,751.8348501881917,45.476235601368046,639.7166822558116,720.5548414767584
l3_lpm,linear_n,8,1,resource_only,rss_per_bmv2_bytes,601,337510400.0,337510400.0,0.0,337510400.0,337510400.0
l3_lpm,linear_n,8,45,resource_only,cpu_percent_per_bmv2,601,694.0722129783694,829.2,27.097698117390546,658.5,740.2
l3_lpm,linear_n,8,45,resource_only,cpu_percent_total,601,51.258402662229614,66.4,3.2715083337190047,47.7,56.9
l3_lpm,linear_n,8,45,resource_only,net_io_pps_per_iface,601,31349.512625614097,197059.26416059915,6775.255837227041,30850.73301396984,31326.360505627854
l3_lpm,linear_n,8,45,resource_only,rss_per_bmv2_bytes,601,342778578.42262894,343277568.0,724019.2861381809,340787200.0,343277568.0
l3_lpm,single_switch,1,0,latency_l3,cpu_percent_per_bmv2,655,1.7250381679389315,10.1,3.780876832683557,0.0,10.0
l3_lpm,single_switch,1,0,latency_l3,cpu_percent_total,655,0.9725190839694656,7.5,0.9004291735059946,0.0,2.5
